month,avg_temp
2020-11,19.583333333333332
2020-12,21.81935483870968
2021-01,22.96451612903226
2021-02,21.50357142857143
2021-03,22.05483870967742
2021-04,18.453333333333333
2021-05,17.335483870967742
2021-06,16.056666666666665
2021-07,14.603225806451613
2021-08,17.738709677419354
2021-09,20.216666666666665
2021-10,18.625806451612902
2021-11,19.67
2021-12,20.403225806451612
2022-01,21.983870967741936
2022-02,21.67142857142857
2022-03,22.46451612903226
2022-04,19.826666666666664
2022-05,16.751612903225805
2022-06,15.99
2022-07,17.574193548387097
2022-08,16.25161290322581
2022-09,16.356666666666666
2022-10,19.690322580645162
2022-11,18.2
2022-12,20.606451612903225
2023-01,21.27741935483871
2023-02,22.05
2023-03,21.79032258064516
2023-04,18.833333333333332
2023-05,17.62258064516129
2023-06,16.013333333333332
2023-07,16.60967741935484
2023-08,18.432258064516127
2023-09,21.553333333333335
2023-10,20.816129032258065
2023-11,22.626666666666665
2023-12,23.0
2024-01,22.451612903225808
2024-02,22.517241379310345
2024-03,22.30322580645161
2024-04,21.33
2024-05,20.570967741935487
2024-06,18.490000000000002
2024-07,16.503225806451614
2024-08,17.280645161290323
2024-09,22.053333333333335
2024-10,20.238709677419354
2024-11,21.490000000000002
2024-12,22.438709677419357
2025-01,22.983870967741936
2025-02,24.87142857142857
2025-03,23.05806451612903
2025-04,20.23
2025-05,19.190322580645162
2025-06,17.146666666666665
2025-07,15.83548387096774
2025-08,17.541935483870965
2025-09,19.546666666666667
2025-10,19.53548387096774
2025-11,21.1
